street_id,cluster_id_version_a,cluster_id_version_b,is_conflict
1228,9,10,True
1229,10,8,True
1230,-1,8,True
1231,-1,8,True
1232,10,8,True
1234,-1,8,True
1236,-1,8,True
1237,8,9,True
1238,10,9,True
1239,-1,8,True
1240,8,9,True
1242,-1,8,True
1243,-1,8,True
1244,10,9,True
1247,-1,8,True
1248,8,9,True
1250,10,8,True
1251,10,9,True
2068,8,10,True
2070,8,9,True
2071,-1,8,True
2072,-1,8,True
2073,-1,8,True
2075,10,8,True
2077,-1,8,True
2078,9,10,True
2079,-1,8,True
2080,-1,8,True
2081,-1,8,True
2082,8,10,True
2083,8,10,True
2085,8,10,True
2086,9,10,True
2088,8,9,True
2089,9,10,True
2091,8,10,True
2092,8,9,True
2093,-1,8,True
2094,-1,8,True
2096,9,10,True
2097,10,8,True
2098,9,10,True
2100,9,10,True
2101,-1,8,True
2102,-1,8,True
2103,10,8,True
2104,-1,8,True
2105,10,9,True
2107,10,9,True
2108,8,9,True
2109,10,9,True
2110,9,10,True
2111,10,9,True
2112,10,8,True
2113,8,9,True
2114,10,9,True
2115,8,10,True
2116,8,10,True
2118,-1,8,True
2119,8,9,True
2120,9,10,True
2122,-1,8,True
2123,9,10,True
2124,8,9,True
2125,-1,8,True
2128,8,10,True
2129,8,10,True
2130,10,8,True
2131,-1,8,True
2132,8,10,True
2133,8,9,True
2134,9,10,True
2136,8,9,True
2137,9,10,True
2139,-1,8,True
2140,-1,8,True
2143,8,10,True
2145,8,10,True
2147,-1,8,True
2149,-1,8,True
2150,10,9,True
2151,-1,8,True
2152,-1,8,True
2153,10,9,True
2166,8,10,True
2167,10,9,True
2168,8,9,True
2170,-1,8,True
2171,10,9,True
2174,9,10,True
2175,10,8,True
2177,10,8,True
2178,10,8,True
2179,-1,8,True
2180,9,10,True
2181,8,10,True
2182,8,10,True
2183,10,9,True
2184,-1,8,True
2234,10,9,True
2235,10,8,True
2236,8,9,True
2237,10,9,True
2238,8,10,True
2240,-1,8,True
2241,9,10,True
2243,-1,8,True
2244,8,9,True
2246,10,9,True
2247,-1,8,True
2248,8,10,True
2249,10,8,True
2251,9,10,True
3317,8,9,True
3319,10,9,True
3322,8,10,True
3323,8,10,True
3391,8,9,True
3392,10,8,True
3393,10,8,True
3394,10,8,True
3396,-1,8,True
3402,-1,8,True
3403,10,9,True
3404,-1,8,True
3406,9,10,True
3445,10,9,True
3446,8,9,True
3447,8,9,True
3448,9,10,True
3451,8,9,True
3452,8,10,True
3453,-1,8,True
3454,-1,8,True
3455,8,9,True
3458,8,9,True
3459,-1,8,True
3539,8,10,True
3540,8,9,True
3541,10,9,True
3542,10,9,True
3556,10,9,True
3557,8,10,True
3558,8,9,True
3559,10,9,True
3561,-1,8,True
3562,9,10,True
3563,10,9,True
3564,8,10,True
3565,-1,8,True
3567,8,9,True
3568,-1,8,True
3569,-1,8,True
3570,8,10,True
3571,9,10,True
3572,8,10,True
3573,-1,8,True
3578,-1,8,True
3581,10,9,True
3660,8,10,True
3661,10,9,True
3663,10,9,True
3664,10,9,True
3731,-1,8,True
3734,-1,8,True
3749,9,10,True
3752,10,9,True
3754,10,9,True
3755,-1,8,True
3757,8,9,True
3759,9,10,True
3760,10,8,True
3762,-1,8,True
3764,8,9,True
3765,8,10,True
3945,9,10,True
3946,8,10,True
4123,-1,8,True
4124,8,10,True
4194,10,9,True
4195,9,10,True
4196,10,9,True
4197,8,10,True
4238,8,9,True
4239,10,8,True
4241,10,9,True
4242,8,9,True
4244,-1,8,True
4247,8,9,True
4251,9,10,True
4254,8,9,True
4256,-1,8,True
4385,8,9,True
4386,8,9,True
4388,10,8,True
4390,10,8,True
4391,9,10,True
4395,10,8,True
4396,8,9,True
4397,-1,8,True
4398,10,9,True
4562,9,10,True
4564,10,9,True
4565,10,8,True
4568,8,9,True
4569,8,10,True
4570,-1,8,True
4652,-1,10,True
4655,10,8,True
4657,8,9,True
4658,10,9,True
4659,-1,10,True
4660,9,10,True
4661,8,9,True
4663,9,10,True
4664,10,9,True
4665,10,9,True
4666,8,9,True
4668,9,10,True
4702,-1,8,True
4703,8,9,True
4705,8,9,True
4706,10,9,True
4892,-1,8,True
4895,9,10,True
4896,8,10,True
4897,-1,8,True
4898,8,9,True
4899,9,10,True
4900,10,9,True
4901,9,10,True
4902,8,10,True
4910,9,10,True
4911,9,10,True
4914,8,9,True
4976,-1,8,True
5015,-1,8,True
5017,-1,8,True
5018,-1,8,True
5019,10,9,True
5020,-1,8,True
5031,8,9,True
5032,9,10,True
5033,9,10,True
5069,-1,8,True
5070,9,10,True
5071,10,9,True
5072,8,10,True
5073,9,10,True
5074,-1,8,True
5075,-1,8,True
5077,8,10,True
5078,8,9,True
5079,8,10,True
5080,9,10,True
5082,8,10,True
