street_id,cluster_id_PF,cluster_id_TF,is_conflict
1228,16,24,True
1229,24,21,True
1231,17,22,True
1232,17,21,True
1233,17,23,True
1234,24,19,True
1235,20,17,True
1236,24,22,True
1237,22,16,True
1238,19,18,True
1240,17,16,True
1241,16,17,True
1242,18,22,True
1243,20,19,True
1244,16,18,True
1245,23,17,True
1246,20,23,True
1247,17,22,True
1248,22,16,True
1249,21,-1,True
1250,23,21,True
1251,20,18,True
1252,21,17,True
1253,18,17,True
1254,17,23,True
2068,18,20,True
2069,20,23,True
2070,20,16,True
2071,16,19,True
2073,17,19,True
2074,21,-1,True
2075,16,21,True
2076,21,-1,True
2077,17,19,True
2078,21,24,True
2079,16,22,True
2080,16,22,True
2081,23,-1,True
2082,21,20,True
2084,16,17,True
2085,22,20,True
2086,20,24,True
2087,21,17,True
2088,20,16,True
2089,19,24,True
2090,20,23,True
2092,21,16,True
2093,18,19,True
2094,18,22,True
2095,19,23,True
2096,20,24,True
2097,20,21,True
2098,23,24,True
2099,20,23,True
2100,19,24,True
2101,16,19,True
2102,20,22,True
2103,16,21,True
2104,17,22,True
2105,17,18,True
2106,20,17,True
2107,19,18,True
2108,-1,16,True
2109,16,18,True
2110,17,24,True
2111,16,18,True
2112,23,21,True
2113,24,16,True
2114,17,18,True
2115,18,20,True
2117,-1,23,True
2118,23,22,True
2119,24,16,True
2120,20,24,True
2122,17,22,True
2123,16,24,True
2125,18,19,True
2126,16,23,True
2127,19,23,True
2128,18,20,True
2129,18,20,True
2130,23,21,True
2131,23,19,True
2132,24,20,True
2133,21,16,True
2134,19,24,True
2135,18,-1,True
2136,21,16,True
2137,20,24,True
2138,24,17,True
2139,18,-1,True
2140,17,19,True
2141,16,23,True
2142,16,17,True
2143,19,20,True
2144,16,17,True
2145,19,20,True
2147,18,22,True
2148,24,17,True
2149,17,22,True
2150,20,18,True
2151,16,22,True
2152,24,19,True
2153,20,18,True
2166,18,20,True
2167,19,18,True
2168,17,16,True
2169,24,17,True
2170,23,22,True
2172,-1,17,True
2173,-1,17,True
2174,-1,24,True
2175,-1,21,True
2176,-1,17,True
2177,-1,21,True
2178,-1,21,True
2179,-1,22,True
2180,-1,24,True
2181,-1,20,True
2182,-1,20,True
2183,-1,18,True
2184,-1,22,True
2234,-1,18,True
2235,-1,21,True
2236,-1,16,True
2237,-1,18,True
2238,-1,20,True
2239,-1,17,True
2240,-1,19,True
2241,-1,24,True
2242,-1,23,True
2243,-1,22,True
2244,-1,16,True
2245,-1,23,True
2246,-1,18,True
2247,-1,19,True
2248,-1,20,True
2249,-1,21,True
2250,-1,23,True
2251,16,24,True
3317,20,16,True
3318,24,17,True
3319,22,18,True
3321,20,23,True
3322,17,20,True
3323,19,20,True
3391,17,16,True
3392,22,21,True
3393,17,21,True
3394,20,21,True
3395,18,17,True
3396,21,19,True
3397,23,17,True
3401,15,17,True
3402,15,22,True
3403,15,18,True
3404,15,22,True
3405,15,17,True
3406,15,24,True
3443,24,17,True
3444,16,17,True
3445,-1,18,True
3446,19,16,True
3447,18,16,True
3448,21,24,True
3449,19,23,True
3451,24,16,True
3452,18,20,True
3453,-1,19,True
3454,24,19,True
3455,17,16,True
3456,16,17,True
3458,20,16,True
3459,17,22,True
3540,23,16,True
3541,16,18,True
3542,17,18,True
3556,15,18,True
3557,15,20,True
3558,24,16,True
3560,20,17,True
3561,23,22,True
3563,17,18,True
3565,24,22,True
3566,24,17,True
3567,18,16,True
3568,-1,19,True
3569,24,22,True
3570,16,20,True
3571,22,24,True
3573,18,22,True
3574,23,17,True
3578,15,22,True
3580,24,17,True
3581,19,18,True
3660,21,20,True
3661,16,18,True
3663,19,18,True
3664,22,18,True
3665,20,23,True
3666,20,17,True
3731,18,22,True
3733,-1,23,True
3734,22,19,True
3749,16,24,True
3751,20,17,True
3752,19,18,True
3754,15,18,True
3755,15,19,True
3756,15,17,True
3757,21,16,True
3758,16,23,True
3759,20,24,True
3760,17,21,True
3761,23,-1,True
3762,18,19,True
3764,18,16,True
3765,19,20,True
3945,20,24,True
3946,21,20,True
4009,18,17,True
4122,24,23,True
4123,23,19,True
4194,15,18,True
4195,15,24,True
4196,15,18,True
4197,21,20,True
4199,15,23,True
4238,15,16,True
4239,15,21,True
4240,15,23,True
4241,15,18,True
4242,15,16,True
4243,15,-1,True
4244,15,19,True
4251,20,24,True
4252,24,17,True
4253,18,17,True
4255,19,23,True
4256,24,22,True
4385,18,16,True
4386,20,16,True
4388,24,21,True
4390,24,21,True
4391,21,24,True
4392,-1,23,True
4393,15,23,True
4394,15,17,True
4395,15,21,True
4396,15,16,True
4397,15,22,True
4398,15,18,True
4562,15,24,True
4563,15,17,True
4564,15,18,True
4565,15,21,True
4568,18,16,True
4571,-1,23,True
4572,24,-1,True
4653,18,17,True
4655,17,21,True
4656,24,17,True
4657,17,16,True
4658,16,18,True
4660,16,24,True
4661,17,16,True
4662,20,-1,True
4663,16,24,True
4664,16,18,True
4665,21,18,True
4666,18,16,True
4667,17,23,True
4668,17,24,True
4669,24,-1,True
4670,16,23,True
4701,16,17,True
4702,-1,22,True
4703,17,16,True
4705,17,16,True
4706,23,18,True
4707,18,17,True
4708,20,17,True
4892,15,22,True
4893,15,17,True
4894,15,23,True
4895,15,24,True
4896,15,20,True
4897,15,22,True
4898,15,16,True
4899,15,24,True
4900,15,18,True
4901,15,24,True
4902,15,20,True
4910,15,24,True
4911,15,24,True
4912,15,23,True
4913,15,23,True
4914,15,16,True
4915,15,23,True
4975,21,17,True
4976,17,22,True
5015,21,19,True
5016,16,23,True
5017,23,19,True
5018,16,22,True
5019,16,18,True
5020,17,22,True
5031,-1,16,True
5032,-1,24,True
5033,-1,24,True
5067,15,-1,True
5068,15,17,True
5069,15,22,True
5070,15,24,True
5071,15,18,True
5072,15,20,True
5073,15,24,True
5074,15,22,True
5075,15,19,True
5076,15,23,True
5077,15,20,True
5078,15,16,True
5079,15,20,True
5080,15,24,True
5081,15,17,True
5082,15,20,True
5084,15,18,True
5085,15,20,True
5138,23,18,True
5141,20,21,True
5142,16,23,True
5143,18,17,True
5144,23,21,True
5145,22,16,True
5146,20,24,True
5258,-1,19,True
5294,15,17,True
5295,15,18,True
5296,24,16,True
5297,19,16,True
5298,18,17,True
5299,24,21,True
5300,21,16,True
5301,20,23,True
5302,21,24,True
5304,-1,16,True
5305,17,23,True
5307,19,24,True
5308,17,24,True
5309,19,23,True
5310,20,17,True
5311,24,22,True
5314,18,19,True
5315,16,23,True
5351,18,19,True
5352,24,16,True
5353,18,24,True
5437,-1,23,True
5622,-1,17,True
5720,18,17,True
5857,19,18,True
5858,22,16,True
5859,16,21,True
5860,17,23,True
5861,22,19,True
5862,20,21,True
5863,-1,16,True
5865,15,16,True
5866,15,18,True
5867,15,23,True
5868,15,20,True
5869,15,21,True
5870,15,22,True
5871,15,16,True
5872,15,16,True
5873,15,16,True
5874,21,23,True
5875,15,23,True
5876,15,24,True
5877,15,24,True
5878,15,21,True
5879,15,19,True
5993,15,23,True
5995,18,17,True
5996,19,17,True
5997,-1,18,True
5998,15,19,True
5999,15,20,True
6006,-1,16,True
6007,-1,21,True
6008,-1,16,True
6064,19,24,True
6065,21,20,True
6066,20,16,True
6067,17,-1,True
6069,18,-1,True
6070,20,23,True
6098,17,-1,True
6099,16,18,True
6100,24,23,True
6101,18,17,True
6102,24,16,True
6103,19,23,True
6104,21,18,True
6105,-1,24,True
6106,22,16,True
6107,16,21,True
6108,16,18,True
6109,20,18,True
6112,21,16,True
6113,21,16,True
6115,19,18,True
6116,19,24,True
6118,18,16,True
6120,-1,21,True
6121,-1,24,True
6122,-1,24,True
6123,-1,20,True
6124,-1,16,True
6127,19,17,True
6220,18,16,True
6263,17,16,True
6264,23,18,True
6265,17,23,True
6282,15,22,True
6283,15,24,True
6284,15,18,True
6414,15,17,True
6415,-1,21,True
6416,19,21,True
6418,15,21,True
6419,15,24,True
6420,15,17,True
6421,15,21,True
6422,15,18,True
6423,15,16,True
6424,15,18,True
6425,15,24,True
6426,15,23,True
6427,15,21,True
6428,15,17,True
6429,15,23,True
6430,15,17,True
6431,15,20,True
6649,22,19,True
6650,17,16,True
6652,23,21,True
6653,21,24,True
6654,21,23,True
6655,16,18,True
6656,17,16,True
6657,23,17,True
6658,24,19,True
6659,-1,18,True
6661,19,16,True
6662,16,18,True
6663,21,23,True
6664,19,-1,True
6665,16,24,True
6668,17,18,True
6669,20,24,True
6670,22,18,True
6672,24,22,True
6674,15,17,True
6675,15,21,True
6696,24,17,True
6697,24,17,True
6698,19,23,True
